Mon Apr 14 17:13:50 2025

Number of Points = 16359
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-317.606143	-230.570680	1.961882	1.575303	0.071757
-319.169285	-289.584205	1.966886	1.575510	0.071710
-319.882957	-161.068390	1.971891	1.575593	0.071810
-320.843291	-94.617401	1.976896	1.575712	0.071862
-321.996342	-62.851879	1.981901	1.575859	0.071886
-322.839934	-290.018144	1.986906	1.575985	0.071709
-323.768577	-371.314295	1.991910	1.576111	0.071645
-324.895516	-351.701779	1.996915	1.576255	0.071660
-325.923549	-100.390396	2.001920	1.576370	0.071856
-326.666671	-191.039664	2.006925	1.576473	0.071785
-328.076556	-266.377258	2.011930	1.576661	0.071726
-329.221120	-47.335625	2.016934	1.576793	0.071896
-329.751921	-187.288527	2.021939	1.576872	0.071787
-331.007663	-148.894700	2.026944	1.577032	0.071817
-332.061192	-363.696436	2.031949	1.577183	0.071649
-332.969671	-338.343769	2.036954	1.577299	0.071669
-333.994531	-228.970636	2.041958	1.577424	0.071754
-335.126685	-151.094774	2.046963	1.577565	0.071814
-335.986033	-232.583255	2.051968	1.577682	0.071750
-337.282550	-311.192756	2.056973	1.577855	0.071689
-337.952008	-203.275883	2.061978	1.577934	0.071773
-338.994408	-323.644455	2.066982	1.578078	0.071678
-339.908425	-325.412067	2.071987	1.578196	0.071677
-340.825357	-253.657821	2.076992	1.578310	0.071732
-341.993423	-286.223869	2.081997	1.578463	0.071707
-342.766330	-188.101773	2.087002	1.578557	0.071783
-343.909621	-250.238454	2.092006	1.578709	0.071734
-345.200434	-253.076477	2.097011	1.578876	0.071732
-346.116898	-307.398427	2.102016	1.578999	0.071689
-346.872458	-251.714303	2.107021	1.579093	0.071732
-348.006447	-253.615628	2.112026	1.579240	0.071731
-349.204824	-197.791190	2.117030	1.579391	0.071774
-350.175651	-21.176316	2.122035	1.579504	0.071911
-351.131375	-206.311575	2.127040	1.579641	0.071767
-352.051634	-255.745985	2.132045	1.579763	0.071728
-353.115053	-245.001057	2.137050	1.579900	0.071736
-354.070079	-226.759040	2.142054	1.580023	0.071750
-354.763171	-183.295706	2.147059	1.580110	0.071784
-355.979948	-93.754315	2.152064	1.580261	0.071853
-356.982874	-291.824355	2.157069	1.580405	0.071699
-357.964405	-126.305980	2.162074	1.580520	0.071827
-358.914920	-162.297629	2.167078	1.580646	0.071799
-359.895321	-218.688316	2.172083	1.580777	0.071755
-360.994474	-160.287554	2.177088	1.580915	0.071800
-361.921500	-208.099338	2.182093	1.581038	0.071763
-362.903072	-202.887216	2.187098	1.581165	0.071766
-364.172727	-115.837301	2.192102	1.581323	0.071834
-364.854081	-185.841238	2.197107	1.581416	0.071779
-366.115082	-290.352152	2.202112	1.581587	0.071697
-367.050769	-225.505049	2.207117	1.581704	0.071748
-368.019227	-334.116689	2.212122	1.581837	0.071663
-369.030090	-209.482033	2.217126	1.581959	0.071760
-370.018952	-256.741407	2.222131	1.582090	0.071723
-371.089091	-175.976742	2.227136	1.582223	0.071785
-372.207283	-291.427573	2.232141	1.582376	0.071695
-373.267410	-312.335608	2.237146	1.582515	0.071678
-374.087397	-305.938116	2.242150	1.582621	0.071683
-375.470894	-334.616164	2.247155	1.582802	0.071660
-376.041354	-179.476135	2.252160	1.582865	0.071781
-377.075844	-134.742267	2.257165	1.582996	0.071816
-377.771643	-175.973508	2.262170	1.583089	0.071784
-379.274261	-238.504218	2.267174	1.583288	0.071734
-380.156925	-214.711431	2.272179	1.583400	0.071753
-381.063659	-140.532524	2.277184	1.583513	0.071810
-382.248410	-328.012013	2.282189	1.583679	0.071664
-383.403903	-98.231050	2.287194	1.583813	0.071843
-384.340051	-91.375846	2.292198	1.583933	0.071848
-385.021805	-283.257842	2.297203	1.584036	0.071698
-386.055225	-231.373258	2.302208	1.584166	0.071738
-387.167352	-179.218497	2.307213	1.584306	0.071779
